Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cuba,CUB,..,10.80231469,13.86712207,15.09811918,11.4946575,14.1405808,18.02448486,18.20054444,17.26391249,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Cyprus,CYP,..,6.42546166,7.19964262,7.317906,7.24005485,7.60225687,6.08461753,7.09380936,7.52622293,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Czech Republic,CZE,..,12.38068298,13.23503973,13.56872234,13.20122649,15.28370696,14.89173846,14.28319812,14.82672339,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Denmark,DNK,..,12.78373697,15.29368768,15.04397952,14.84027081,15.35104038,15.50893356,15.7889857,16.24515072,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Djibouti,DJI,..,6.07547627,6.97048708,8.47449213,7.13329364,6.73504804,6.07299081,4.06950952,3.09713949,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Dominica,DMA,..,8.42857143,8.24644384,9.87542865,9.32824773,9.58489944,10.39416342,10.57959429,8.03415691,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Dominican Republic,DOM,..,11.76568321,15.92765293,17.08921813,13.73804712,15.7041199,14.28421213,13.95385602,15.9996763,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Ecuador,ECU,..,4.13943099,9.20462821,9.44383314,10.38327777,10.0340768,10.20479067,10.8497536,10.98594838,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Egypt, Arab Rep.",EGY,..,6.66372605,4.36156335,4.82708198,4.38540947,4.15663296,4.16148472,4.96241385,4.21851105,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,El Salvador,SLV,..,18.44197138,17.70562771,19.36973103,18.59122402,19.78410571,20.11933619,20.83333333,20.92982762,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Equatorial Guinea,GNQ,..,2.45692049,1.01801332,1.03201276,1.17602091,1.56889624,1.30767039,1.41046486,2.58619083,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Eritrea,ERI,..,2.14200714,1.50763473,1.66253925,2.02026297,0.95879617,1.12790065,1.20961034,2.91950316,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Estonia,EST,..,10.77758974,11.59982221,11.6667201,11.28944942,11.79293672,12.17406642,12.14046083,12.40744846,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Eswatini,SWZ,..,10.50858875,18.84767728,20.9313464,16.54528697,16.58934071,13.71584947,14.8978314,15.23098497,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Ethiopia,ETH,..,7.03034266,5.08789781,2.09079134,6.40211186,6.19225705,4.08834218,5.91435818,6.02200156,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Fiji,FJI,..,10.58804456,8.58770344,7.05549898,7.35162095,7.46682578,7.10427607,7.04417498,7.66159292,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Finland,FIN,..,10.54015902,12.5063732,12.8035298,12.95944576,12.90146058,12.70366537,13.26155822,13.11701778,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,France,FRA,..,14.71995164,15.1168526,15.20403839,15.15697326,15.28941713,15.54012375,15.54344828,16.9686112,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
